accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_i,quat_j,quat_k,quat_real,distance,top1,top2,top3,top4,btm1,btm2,btm3,btm4,btm5,label,,,,
-7.4609375,1.6953125,0.609375,-0.05859375,-0.13671875,-0.451171875,-0.441833496,0.577819824,0.555114746,0.403503418,500,91.125,500,161.637,421.596,91.235,276.167,159.217,500,95.291,0,,,,
-7.4609375,1.6953125,0.609375,-0.05859375,-0.13671875,-0.451171875,-0.441833496,0.577819824,0.555114746,0.403503418,500,91.125,500,161.637,421.596,91.235,276.167,159.217,500,95.291,0,,,,
-8.95703125,2.65234375,-0.23046875,0.041015625,0.1015625,-0.02734375,-0.454833984,0.569946289,0.562988281,0.388977051,500,90.642,274.061,500,236.877,89.375,500,500,167.002,192.435,0,,,,
-8.95703125,2.65234375,-0.23046875,0.041015625,0.1015625,-0.02734375,-0.454833984,0.569946289,0.562988281,0.388977051,500,90.642,274.061,500,236.877,89.375,500,500,167.002,192.435,0,,,,
-9.5703125,2.8828125,-1.609375,0.0859375,-0.080078125,-0.07421875,-0.464904785,0.57611084,0.554016113,0.380859375,500,90.642,274.061,500,236.877,89.375,500,500,167.002,192.435,0,,,,
-9.5703125,2.8828125,-1.609375,0.0859375,-0.080078125,-0.07421875,-0.464904785,0.57611084,0.554016113,0.380859375,500,90.642,274.061,500,236.877,89.375,500,500,167.002,192.435,0,,,,
-8.8359375,2.1171875,-0.61328125,0.1171875,-0.3515625,-0.125,-0.454345703,0.57409668,0.56036377,0.387268066,500,90.642,274.061,500,236.877,89.375,500,500,167.002,192.435,0,,,,
-10.80078125,3.19140625,-1.80078125,-0.169921875,-0.029296875,-0.05859375,-0.466918945,0.554626465,0.562927246,0.396850586,500,95.995,236.697,484.777,364.875,84.971,241.751,500,288.033,184.106,0,,,,
-8.265625,2.078125,-1.03515625,0.236328125,-0.021484375,-0.490234375,-0.514770508,0.534179688,0.566040039,0.359558105,474,87.559,254.933,378.507,233.953,88.029,136.008,500,250.959,267.601,0,,,,
-8.265625,2.078125,-1.03515625,0.236328125,-0.021484375,-0.490234375,-0.514770508,0.534179688,0.566040039,0.359558105,457.3,87.559,254.933,378.507,233.953,88.029,136.008,500,250.959,267.601,0,,,,
-8.265625,2.078125,-1.03515625,0.236328125,-0.021484375,-0.490234375,-0.514770508,0.534179688,0.566040039,0.359558105,418.2,87.559,254.933,378.507,233.953,88.029,136.008,500,250.959,267.601,0,,,,
-8.53515625,2.00390625,-1.2265625,-0.091796875,0.0078125,0.1953125,-0.513305664,0.535766602,0.567565918,0.356811523,412.1,91.104,240.23,174.795,153.214,89.559,211.011,427.864,213.542,190.705,0,,,,
